Grupo;SD;DI;Idade_da_crianca;sexo;escola;ocupacao_da_mae;ocupacao_da_mae_Trabalha;ocupacao_da_mae_Lar;ocupacao_do_pai;ocupacao_do_pai_Trabalha;ocupacao do_pai_Lar;idade_da_mae;idade_do_pai;situacao_conjugal;casado;Numero_de_filhos;Tipo_de_moradia;Condicao_de_moradia;Condicao_de_moradia;Moradia_Propria;Moradia_Alugada;media_salarial;PP;CP;PSI;FACES_IV
2;0;1;1;1;1;3;0;1;1;1;0;33;40;1;1;2;0;1;1;1;0;3;125;175;80;182
2;0;1;1;1;1;3;0;1;1;1;0;33;40;1;1;2;0;1;1;1;0;3;132;184;87;196
2;0;1;1;0;1;3;0;1;1;1;0;28;34;1;1;1;0;1;1;1;0;3;158;239;88;231
2;0;1;1;1;1;1;1;0;1;1;0;45;34;1;1;3;1;2;2;0;0;6;148;194;110;188
2;0;1;1;1;1;1;1;0;1;1;0;49;51;2;0;1;1;1;1;1;0;2;146;174;82;182
2;0;1;1;0;1;1;1;0;1;1;0;45;34;1;1;1;1;2;2;0;0;6;150;187;111;184
2;0;1;1;1;0;3;0;1;1;1;0;37;35;1;1;2;1;1;1;1;0;2;151;178;94;206
2;0;1;1;1;0;1;1;0;1;1;0;39;39;3;0;3;1;1;1;1;0;2;158;211;100;212
2;0;1;1;1;0;3;0;1;1;1;0;29;34;1;1;2;1;1;1;1;0;6;148;152;102;165
2;0;1;1;1;0;3;0;1;3;0;1;44;40;1;1;1;1;2;2;0;0;1;167;171;88;226
2;0;1;1;1;0;3;0;1;1;1;0;38;38;1;1;3;1;1;1;1;0;2;155;153;94;177
2;0;1;1;1;0;1;1;0;1;1;0;33;38;1;1;3;1;1;1;1;0;2;156;176;116;237
2;0;1;1;1;0;1;1;0;3;0;1;39;39;6;0;1;1;1;1;1;0;2;163;181;96;182
2;0;1;1;1;0;3;0;1;1;1;0;47;44;1;1;2;1;1;1;1;0;6;148;159;107;183
2;0;1;1;0;0;3;0;1;1;1;0;39;34;1;1;3;1;1;1;1;0;1;163;165;79;178
2;0;1;1;1;0;3;0;1;1;1;0;27;42;1;1;4;1;1;1;1;0;2;175;191;99;200
2;0;1;1;1;0;3;0;1;1;1;0;28;28;1;1;3;1;3;3;0;0;2;161;187;111;217
2;0;1;1;0;0;1;1;0;1;1;0;33;37;1;1;2;1;1;1;1;0;2;147;165;101;209
2;0;1;1;0;0;3;0;1;1;1;0;52;53;2;0;1;1;2;2;0;0;1;155;164;104;260
2;0;1;1;1;0;3;0;1;3;0;1;31;31;4;0;3;1;1;1;1;0;2;160;165;76;207
2;0;1;1;0;0;1;1;0;1;1;0;31;36;1;1;2;1;3;3;0;0;1;157;147;95;179
2;0;1;0;1;0;3;0;1;1;1;0;30;27;1;1;1;1;1;1;1;0;1;121;181;105;203
2;0;1;1;1;0;3;0;1;1;1;0;40;39;1;1;1;1;1;1;1;0;2;129;155;101;194
2;0;1;1;1;0;3;0;1;1;1;0;46;49;1;1;3;1;1;1;1;0;2;186;187;126;224
2;0;1;1;1;0;1;1;0;1;1;0;34;40;1;1;1;0;1;1;1;0;6;188;174;96;212
2;0;1;1;1;0;3;0;1;1;1;0;37;39;1;1;3;1;3;3;0;0;1;168;207;109;194
2;0;1;1;1;0;1;1;0;1;1;0;37;40;1;1;1;1;1;1;1;0;2;144;192;105;212
2;0;1;1;1;0;1;1;0;3;0;1;35;35;5;0;1;1;2;2;0;0;2;153;196;96;235
2;0;1;1;1;0;3;0;1;1;1;0;31;32;1;1;3;1;1;1;1;0;1;157;127;111;186
2;0;1;1;0;0;3;0;1;1;1;0;27;27;1;1;3;1;1;1;1;0;1;145;197;74;196
2;0;1;0;0;0;1;1;0;1;1;0;39;41;1;1;2;1;2;2;0;0;2;173;200;109;242
3;0;0;1;0;0;3;0;1;1;1;0;26;30;1;1;3;1;1;1;1;0;2;133;162;98;195
3;0;0;1;1;0;3;0;1;1;1;0;48;49;1;1;5;1;1;1;1;0;1;158;170;103;221
3;0;0;1;0;0;1;1;0;1;1;0;42;43;1;1;2;1;1;1;1;0;2;162;188;127;203
3;0;0;1;1;0;1;1;0;1;1;0;28;40;1;1;3;1;2;2;0;0;1;139;202;80;158
